question,context,answer
Tại trường có bao nhiêu loại học bổng KKHT(khuyến khích học tập)?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.",Tại trường có ba loại học bổng KKHT (khuyến khích học tập).
trường gồm mấy loại học bổng khuyến khích học tập ?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.",Trường gồm ba loại học bổng khuyến khích học tập.
Tổng số tiền nhà trường dành ra để làm quỹ học bổng KKHT là bao nhiêu?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.",Tổng số tiền nhà trường dành ra để làm quỹ học bổng KKHT là khoảng 70 tỷ đồng.
Số tiền mà học bổng loại A nhận được là bao nhiêu ?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.","Số tiền mà học bổng loại A nhận được bằng 1,5 lần học bổng loại khá."
Nếu sinh viên được học bổng loại A thì sẽ nhận được bao nhiêu ?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.","Nếu sinh viên được học bổng loại A thì sẽ nhận được số tiền bằng 1,5 lần học bổng loại khá."
Nếu sinh viên đạt học bổng loại B thì sẽ nhận được bao nhiêu tiền?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.","Nếu sinh viên đạt học bổng loại B thì sẽ nhận được số tiền bằng 1,2 lần học bổng loại khá."
Số tiền mà một sinh viên khi được học bổng loại B nhận được là?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.","Số tiền mà một sinh viên khi được học bổng loại B nhận được là bằng 1,2 lần học bổng loại khá."
Học bổng loại C thì nhận được số tiền bao nhiêu ?,"Học bổng khuyến khích học tập- Các mức học bổng.Năm học 2023-2024 Nhà trường dành khoảng 70 tỷ đồng làm quỹ học bổng KKHT (khuyến khích học tập) cho những sinh viên có kết quả học tập và rèn luyện tốt. Học bổng KKHT được xét theo học kỳ và có 3 mức: Học bổng loại khá (loại C): Tương đương với mức học phí sinh viên phải đóng. Học bổng loại giỏi (loại B): Bằng 1,2 lần học bổng loại khá. Học bổng loại suất sắc (loại A): Bằng 1,5 lần học bổng loại khá.",Học bổng loại C thì nhận được số tiền tương đương với mức học phí sinh viên phải đóng.
Điều kiện để được học bổng loại A là gì ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Điều kiện để được học bổng loại A là sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên.
Muốn đạt được học bổng loại A thì điều kiện cần đạt được là gì ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Muốn đạt được học bổng loại A thì điều kiện cần đạt được là sinh viên phải có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên.
